,Unnamed: 0,Symbol,Name,Sector
478,484,WEC,Wec Energy Group Inc,Utilities
479,485,WFC,Wells Fargo,Financials
480,486,WELL,Welltower Inc.,Real Estate
481,487,WDC,Western Digital,Information Technology
482,488,WU,Western Union Co,Information Technology
483,489,WRK,WestRock Company,Materials
484,490,WY,Weyerhaeuser Corp.,Real Estate
485,491,WHR,Whirlpool Corp.,Consumer Discretionary
486,492,WMB,Williams Cos.,Energy
487,493,WLTW,Willis Towers Watson,Financials
489,495,WYNN,Wynn Resorts Ltd,Consumer Discretionary
490,496,XEL,Xcel Energy Inc,Utilities
491,497,XRX,Xerox Corp.,Information Technology
492,498,XLNX,Xilinx Inc,Information Technology
493,499,XL,XL Capital,Financials
494,500,XYL,Xylem Inc.,Industrials
495,501,YUM,Yum! Brands Inc,Consumer Discretionary
496,502,ZBH,Zimmer Biomet Holdings,Health Care
497,503,ZION,Zions Bancorp,Financials
498,504,ZTS,Zoetis,Health Care
