,MainLSTMlayers,MainLSTMNodes,MainLSTMDropout,FinalLSTMNodes,FinalLSTMDropout,FinalDenseNodes,FinalDenseDropout,LearningRate,Decay,Val_acc,Training_acc
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.003,3e-07,0.4756898880004883,0.7127206325531006
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.003,1e-06,0.4954007863998413,0.6962872743606567
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.003,3e-06,0.5282523036003113,0.7090687751770021
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.0001,1e-07,0.5059132575988771,0.5636031627655029
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.0001,3e-07,0.483574241399765,0.5715155005455017
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.0001,1e-06,0.4980289041996002,0.5885575413703918
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.0001,3e-06,0.5190538763999939,0.5800365209579468
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.0003,1e-07,0.5400788187980652,0.6433353424072266
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.0003,3e-07,0.4783180058002472,0.6524649858474731
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.0003,1e-06,0.4940867424011231,0.6238588094711304
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.0003,3e-06,0.4888304769992829,0.6512477397918701
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.001,1e-07,0.5137976408004761,0.7023736834526062
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.001,3e-07,0.5124835968017578,0.6877662539482117
"(2, 32, 0.15, 32, 0.15, 64, 0.3, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.3,0.001,1e-06,0.4612352252006531,0.7054169178009033
